ID,Текст анекдота,Опубликован?,Дата публикации
1,"Фармацевт в аптеке советует девушке антидепрессанты:
- Вот эти таблетки не берите, они не убирают агрессию, а просто улучшают настроение.
- То есть если вы, например, убиваете людей топором, то после таблеток вы будете это делать с улыбкой.",Да,
2,"МИД РФ заявил, что США купили Аляску у Ларисы Долиной",Да,
3,"Когда лётчик обращается к пассажирам по громкой связи, понимаешь, что почерк врачей — это не самая неразборчивая вещь на свете.",Да,
4,"Почему в трансформерах нет женщин-роботов?
Потому что они долго собираются.",Да,
5,"Новый помощник спрашивает старого аптекаря:
- А что это за лекарство вы держите отдельного, в ящичке рядом с кассой?
- Я даю его в тех случаях, когда мне не удаётся разобрать рецепт.",Да,
6,"Армянское радио спросили:
- Как определить, является гей активным или пассивным?
Армянское радио ответило:
- Надо его хорошенько разозлить.
Если при этом он скажет 'иди в жопу', то он - пассивный, а если 'иди на хер', то - активный.",Да,
7,"- Что ты мне подаришь на 14 февраля?
- Ничего.
- Ну скажи, хотя бы, что я красивая.
- Это на 1 апреля.",Да,
8,"- Доктор, а правда, что от смеха можно умереть?
- Да, но только один раз.",Да,
9,"Заходит как-то улитка в бар, а бармен ей:
- У нас строгая политика! 
И вышвыривает её за дверь.
Через неделю улитка возвращается и спрашивает:
- И зачем ты это сделал?",Да,
10,"Почему программисты так плохо паркуются?
Потому что они всегда ищут место, где array.length == 0.",Да,
11,"Приходит мужчина к врачу:
- Доктор, я постоянно чувствую себя собакой.
- А давно это у вас?
- С детства, но только сейчас начало лаять донимать.",Да,
12,"- Почему математики так плохо играют в прятки?
- Потому что они всегда идут по X.",Да,
13,"- Алло, это служба доставки?
- Да.
- Привезите, пожалуйста, пиццу.
- На какую улицу?
- На ту, где дом 15.
- А какой дом?
- Тот, где улица Пиццечная.",Да,
14,"Почему птицы летают на юг?
- Потому что пешком далеко.",Да,
15,"Студент на экзамене по философии. Преподаватель спрашивает:
- Что такое счастье?
Студент:
- Счастье - это когда в 8 утро понедельника, а у тебя лекция в 10.",Да,
